university_id,new_course_id,new_course_name,new_course_name_key,new_course_name_stem,new_course_credits,new_course_requirement_type_id,new_course_degree_ids,new_course_family_count,new_course_scope,new_course_valid_rows,old_course_id,old_course_name,old_course_name_key,old_course_degree_ids,old_course_train_support,old_course_train_pass_rate,old_course_train_avg_mark,predecessor_rank,predecessor_count_for_new_course,relationship_type,weight_hint,match_method,lineage_scope_used,effective_from_part_id,approval_status,notes
111,99.111,سلوك المستهلك,سلوك مستهلك,سلوك مستهلك,3.0,5,7.111,1,specific,46,,,,,,,,,0,none,,none,7.111->7.111:degree_itself_train_present,20221,pending,No eligible in-scope predecessor candidate was found.
111,101.111,إدارة المشتريات والتخزين,اداره مشتريات والتخزين,اداره مشتريات والتخزين,3.0,5,7.111|9.111,2,specific,50,,,,,,,,,0,none,,none,7.111->7.111:degree_itself_train_present|9.111->NONE:no_train_lineage,20221,pending,No eligible in-scope predecessor candidate was found.
111,102.111,التسويق المباشر,تسويق مباشر,تسويق مباشر,3.0,5,7.111,1,specific,32,,,,,,,,,0,none,,none,7.111->7.111:degree_itself_train_present,20221,pending,No eligible in-scope predecessor candidate was found.
111,103.111,تسويق الخدمات,تسويق خدمات,تسويق خدمات,3.0,5,7.111|9.111,2,specific,54,,,,,,,,,0,none,,none,7.111->7.111:degree_itself_train_present|9.111->NONE:no_train_lineage,20221,pending,No eligible in-scope predecessor candidate was found.
111,104.111,إدارة النقل,اداره نقل,اداره نقل,3.0,5,7.111,1,specific,51,,,,,,,,,0,none,,none,7.111->7.111:degree_itself_train_present,20222,pending,No eligible in-scope predecessor candidate was found.
111,105.111,ادارة  الترويج والاعلان,اداره ترويج والاعلان,اداره ترويج والاعلان,3.0,5,7.111,1,specific,48,,,,,,,,,0,none,,none,7.111->7.111:degree_itself_train_present,20222,pending,No eligible in-scope predecessor candidate was found.
111,106.111,إدارة العلاقة مع الزبائن,اداره علاقه مع زباين,اداره علاقه مع زباين,3.0,5,7.111|9.111,2,specific,49,,,,,,,,,0,none,,none,7.111->7.111:degree_itself_train_present|9.111->NONE:no_train_lineage,20222,pending,No eligible in-scope predecessor candidate was found.
111,107.111,تصميم المنتج والتسعير,تصميم منتج والتسعير,تصميم منتج والتسعير,3.0,5,7.111,1,specific,46,,,,,,,,,0,none,,none,7.111->7.111:degree_itself_train_present,20222,pending,No eligible in-scope predecessor candidate was found.
111,108.111,بحوث ونظم المعلومات التسويقية,بحوث ونظم معلومات تسويقيه,بحوث ونظم معلومات تسويقيه,3.0,5,7.111,1,specific,23,,,,,,,,,0,none,,none,7.111->7.111:degree_itself_train_present,20232,pending,No eligible in-scope predecessor candidate was found.
111,109.111,إدارة التجزئة,اداره تجزيه,اداره تجزيه,3.0,5,7.111,1,specific,32,,,,,,,,,0,none,,none,7.111->7.111:degree_itself_train_present,20231,pending,No eligible in-scope predecessor candidate was found.
