REVIEW ARTIFACT - NOT AN EQUIVALENCE MAPPING. No mapping has been created or applied. Buckets are mixed; conflicting evidence is retained deliberately; the v1 CSV's multi-candidate detail still stands. Do not consume as a lookup table.
new_bucket,prior_bucket,changed,in_scope_for_this_task,new_course_id,new_course_name,valid_rows,first_valid_semester,candidate_1_course_id,candidate_1_name,new_evidence,new_reason,predecessor_last_active_semester_2025,predecessor_never_reached_activity_floor,predecessor_silent_semesters_after,predecessor_taper_confirmed,predecessor_taper_post_debut,predecessor_taper_pre_debut,predecessor_active_through_2025,predecessor_rows_2021,predecessor_rows_2024,predecessor_persistence_ratio,new_course_rows_2024,new_course_last_active_semester,new_course_short_lived,human_decision_required
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1423.111,اللغة الإنكليزية – 1,979,20231,830.111,اللغة الانكليزية - 1,predecessor already fully tapered before the new course's debut (last active 20171); the extra years confirm no rebound but add no new evidence,name similarity 1.00 with degree-lineage link; unmet for confirmation: ambiguous: a second candidate carries equal evidence,20171,False,25,True,False,True,False,1,0,0.0,1005,20252,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1175.111,التحليل الرياضي1,917,20221,502.111,التحليل الرياضي 1,"taper confirmed: predecessor last active 20232 (after the new course's debut), then near-zero for 6 consecutive semesters through 20252",name similarity 1.00 with degree-lineage link; unmet for confirmation: credits,20232,False,6,True,True,False,False,360,6,0.0167,281,20251,False,yes
confirmed_equivalent,confirmed_equivalent,False,False,1172.111,الرياضيات المتقطعة,876,20221,431.111,الرياضيات المتقطعة,carried over unchanged - outside this task's scope,"exact normalized name, equal credits (3.0) and requirement type, degree-lineage link, and predecessor enrolment collapsed to 4% of its final TRAIN year",,,,,,,,,,,308,20251,False,yes
unresolved,unresolved,False,True,1421.111,مهارات اللغة العربية,854,20231,955.111,اللغة العربية,"predecessor still running through 2025 at reduced volume (last active 20252, 2024/2021 ratio 0.0933) - no confirmed taper",plausible but insufficient: name only 0.79 similar; predecessor still enrolling through 2025 - no taper,20252,False,0,False,False,False,False,1757,164,0.0933,995,20252,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1171.111,مدخل إلى الخوارزميات والبرمجة,834,20221,513.111,مقدمة في الخوارزميات والبرمجة,"taper confirmed: predecessor last active 20232 (after the new course's debut), then near-zero for 6 consecutive semesters through 20252",name similarity 0.88 with degree-lineage link; unmet for confirmation: uniqueness/corroboration,20232,False,6,True,True,False,False,421,0,0.0,289,20252,False,yes
confirmed_equivalent,confirmed_equivalent,False,False,1174.111,الفيزياء1,791,20221,501.111,الفيزياء 1,carried over unchanged - outside this task's scope,"exact normalized name, equal credits (3.0) and requirement type, degree-lineage link, and predecessor enrolment collapsed to 4% of its final TRAIN year",,,,,,,,,,,266,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1180.111,الدارات الكهربائية1,773,20221,427.111,الدارات الكهربائية 1,"taper confirmed: predecessor last active 20222 (after the new course's debut), then near-zero for 9 consecutive semesters through 20252",name similarity 1.00 with degree-lineage link; unmet for confirmation: requirement_type,20222,False,9,True,True,False,False,51,10,0.1961,332,20252,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1179.111,الفيزياء2,759,20222,457.111,الفيزياء 2,"taper confirmed: predecessor last active 20222 (after the new course's debut), then near-zero for 9 consecutive semesters through 20252",name similarity 1.00 with degree-lineage link; unmet for confirmation: requirement_type,20222,False,9,True,True,False,False,35,3,0.0857,290,20252,False,yes
unresolved,unresolved,False,True,1176.111,البرمجة1,751,20221,519.111,برمجة النظم,"predecessor still active at comparable volume through 2025 (63 rows in 2024 vs 128 in 2021, ratio 0.4922) - evidence AGAINST equivalence: both courses are live",plausible but insufficient: name only 0.75 similar; predecessor still enrolling through 2025 - no taper,20251,False,1,False,False,False,True,128,63,0.4922,341,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1173.111,الجبر الخطي ونظرية المصفوفات,719,20221,432.111,الجبر الخطي ونظرية المصفوفات,"taper confirmed: predecessor last active 20222 (after the new course's debut), then near-zero for 9 consecutive semesters through 20252",name similarity 1.00 with degree-lineage link; unmet for confirmation: credits,20222,False,9,True,True,False,False,344,2,0.0058,273,20252,False,yes
