REVIEW ARTIFACT - NOT AN EQUIVALENCE MAPPING. No mapping has been created or applied. Multiple candidates per course; buckets are mixed; conflicting evidence is retained deliberately. Do not consume as a lookup table.
review_bucket,new_course_id,new_course_name,valid_rows,first_valid_semester,censored_debut,faculty_id,degrees_offered_in_valid,candidate_1_course_id,candidate_1_name,candidate_1_name_similarity,candidate_1_name_exact_normalized,candidate_1_credits_old,candidate_1_credits_new,candidate_1_credits_equal,candidate_1_requirement_type_equal,candidate_1_faculty_equal,candidate_1_degree_lineage_linked,candidate_1_planned_level_equal,candidate_1_train_rows,candidate_1_last_active_semester,candidate_1_volume_collapsed,candidate_1_post_boundary_volume_ratio,candidate_1_temporal_complementarity,candidate_1_censored_predecessor,candidate_1_signals_matched,candidate_1_signals_conflicted,candidate_2_course_id,candidate_2_name,candidate_2_name_similarity,candidate_3_course_id,candidate_3_name,candidate_3_name_similarity,reason,human_decision_required
likely_equivalent_needs_review,1423.111,اللغة الإنكليزية – 1,979,20231,False,167.111,35.111|40.111|41.111|42.111|44.111|45.111|46.111|47.111|48.111|49.111|50.111|52.111|53.111|54.111|55.111|56.111,830.111,اللغة الانكليزية - 1,1.0,True,3.0,3.0,True,True,False,True,True,363,20171,False,0.0,True,False,name_exact|credits|requirement_type|degree_lineage|planned_level|temporal_complementarity,faculty|predecessor_volume_collapse|volume_continuity,221.111,لغة انكليزية (1),1.0,151.111,اللغة الانكليزية 1,1.0,name similarity 1.00 with degree-lineage link; unmet for confirmation: ambiguous: a second candidate carries equal evidence,yes
likely_equivalent_needs_review,1175.111,التحليل الرياضي1,917,20221,False,167.111,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,502.111,التحليل الرياضي 1,1.0,True,4.0,3.0,False,True,False,True,False,1524,20232,True,0.0944,False,True,name_exact|requirement_type|degree_lineage|predecessor_volume_collapse|volume_continuity,credits|faculty|planned_level|temporal_complementarity,400.111,تحليل رياضي1,1.0,503.111,التحليل العددي,0.7097,"name similarity 1.00 with degree-lineage link; unmet for confirmation: credits, temporal corroboration censored by the VALID end date",yes
confirmed_equivalent,1172.111,الرياضيات المتقطعة,876,20221,False,167.111,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,431.111,الرياضيات المتقطعة,1.0,True,3.0,3.0,True,True,False,True,False,1929,20231,True,0.0401,False,False,name_exact|credits|requirement_type|degree_lineage|predecessor_volume_collapse|volume_continuity,faculty|planned_level|temporal_complementarity,118.111,رياضيات الأعمال,0.6667,1040.111,رياضيات – 1,0.6957,"exact normalized name, equal credits (3.0) and requirement type, degree-lineage link, and predecessor enrolment collapsed to 4% of its final TRAIN year",yes
unresolved,1421.111,مهارات اللغة العربية,854,20231,False,2.111,35.111|40.111|41.111|42.111|44.111|45.111|46.111|47.111|48.111|49.111|50.111|52.111|53.111|54.111|55.111|56.111,955.111,اللغة العربية,0.7879,False,2.0,2.0,True,True,False,True,False,10326,20233,False,0.4513,False,True,credits|requirement_type|degree_lineage,name_exact|faculty|planned_level|predecessor_volume_collapse|temporal_complementarity|volume_continuity,829.111,اللغة العربية,0.7879,149.111,اللغة العربية,0.7879,plausible but insufficient: name only 0.79 similar,yes
likely_equivalent_needs_review,1171.111,مدخل إلى الخوارزميات والبرمجة,834,20221,False,167.111,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,513.111,مقدمة في الخوارزميات والبرمجة,0.8846,False,3.0,3.0,True,True,False,True,True,2117,20232,True,0.0273,False,True,credits|requirement_type|degree_lineage|planned_level|predecessor_volume_collapse|volume_continuity,name_exact|faculty|temporal_complementarity,444.111,المنطق العائم والخوارزميات الوراثية,0.6875,119.111,مدخل إلى إدارة الإنتاج والعمليات,0.623,name similarity 0.88 with degree-lineage link; unmet for confirmation: temporal corroboration censored by the VALID end date,yes
confirmed_equivalent,1174.111,الفيزياء1,791,20221,False,167.111,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,501.111,الفيزياء 1,1.0,True,3.0,3.0,True,True,False,True,True,1910,20231,True,0.0369,False,False,name_exact|credits|requirement_type|degree_lineage|planned_level|predecessor_volume_collapse|volume_continuity,faculty|temporal_complementarity,410.111,فيزياء 1,1.0,271.111,الفيزياء (1),1.0,"exact normalized name, equal credits (3.0) and requirement type, degree-lineage link, and predecessor enrolment collapsed to 4% of its final TRAIN year",yes
likely_equivalent_needs_review,1180.111,الدارات الكهربائية1,773,20221,False,167.111,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,427.111,الدارات الكهربائية 1,1.0,True,3.0,3.0,True,False,False,True,False,385,20222,True,0.3431,False,False,name_exact|credits|degree_lineage|predecessor_volume_collapse,requirement_type|faculty|planned_level|temporal_complementarity|volume_continuity,520.111,الدارات الكهربائية والإلكترونية,0.7451,434.111,الدارات المنطقية,0.6667,name similarity 1.00 with degree-lineage link; unmet for confirmation: requirement_type,yes
likely_equivalent_needs_review,1179.111,الفيزياء2,759,20222,False,167.111,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,457.111,الفيزياء 2,1.0,True,3.0,3.0,True,False,False,True,True,362,20222,True,0.0714,True,False,name_exact|credits|degree_lineage|planned_level|predecessor_volume_collapse|temporal_complementarity,requirement_type|faculty|volume_continuity,411.111,فيزياء 2,1.0,501.111,الفيزياء 1,0.8889,name similarity 1.00 with degree-lineage link; unmet for confirmation: requirement_type,yes
unresolved,1176.111,البرمجة1,751,20221,False,167.111,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,519.111,برمجة النظم,0.75,False,3.0,3.0,True,True,False,True,False,420,20233,False,1.6914,False,True,credits|requirement_type|degree_lineage|volume_continuity,name_exact|faculty|planned_level|predecessor_volume_collapse|temporal_complementarity,514.111,البرمجة الإجرائية,0.6154,413.111,برمجة 1,1.0,plausible but insufficient: name only 0.75 similar,yes
likely_equivalent_needs_review,1173.111,الجبر الخطي ونظرية المصفوفات,719,20221,False,167.111,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,432.111,الجبر الخطي ونظرية المصفوفات,1.0,True,4.0,3.0,False,True,False,True,True,1933,20222,True,0.0363,False,False,name_exact|requirement_type|degree_lineage|planned_level|predecessor_volume_collapse|volume_continuity,credits|faculty|temporal_complementarity,,,,,,,name similarity 1.00 with degree-lineage link; unmet for confirmation: credits,yes
